HASTUS_ID,TRANSLINK_ID,DESCRIPTION,STREET_NAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT (Y/N),BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT
1,306549,Herschel St app Nth Quay (r) (Stop 1),HERSCHEL ST, ,501885,6961746,-27.467834,153.019079,BRISBANE CITY, , ,, , ,
2,306550,Herschel St app Nth Quay (Stop 2),NORTH QUAY, ,501851.9,6961717.1,-27.468095,153.018744,BRISBANE CITY, , ,, , ,
3,306547,Turbot St F/S Albert St (Stop 3),TURBOT ST, ,502311.3,6961837.3,-27.467009,153.023393,BRISBANE CITY, , ,, , ,
4,306512,Turbot St F/S Wharf St (Stop 4),Turbot St,Wharf St,502805.7,6962247.3,-27.463306,153.028396,SPRING HILL,Intermediate,N,Hard,Easy,Hard,6/05/2007
5,306524,Ann Street F/S Orient Hotel (Stop 5),Ann St,Queen St,503022.1,6962290.4,-27.462917,153.030586,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Hard,6/07/2007
6,306558,Ann St app Wharf St (Stop 6),Ann St,Creek St,502880.6,6962169,-27.464013,153.029154,BRISBANE CITY,Intermediate,Y,Medium,Medium,Medium,29/05/2012
7,306559,Ann St at Anzac Square (Stop 7),Ann St,Creek St,502617.7,6961937.3,-27.466105,153.026494,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,20/02/2012
8,300073,Ann St app Edward St (Stop 8),Ann St,Edward St,502569.1,6961895,-27.466487,153.026002,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,20/02/2012
9,306560,Ann St app KGS (Stop 9),Ann St,Edward St,502466.1,6961808,-27.467273,153.02496,BRISBANE CITY,Regular with seat,Y,Hard, ,Easy,20/02/2012
10,306561,Ann St at KGS (Stop 10),Ann St,Albert St,502368.3,6961727.2,-27.468003,153.02397,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,28/06/2011
11,306573,Ann St Stop 11,Ann St,George St,502266.7,6961637.1,-27.468816,153.022942,BRISBANE CITY,Intermediate,N,Medium,Easy,Easy,13/06/2007
12,306558,Stop 6A Ann St app Creek St,CREEK ST, ,502701.6,6962010.6,-27.465444,153.027343,BRISBANE CITY,Intermediate, ,, , ,
14,701393,Ann St @ City Hall Stop 12,ADELAIDE ST, ,502262.7,6961634,-27.468844,153.022902,BRISBANE CITY, , ,, , ,
17,306585,Adelaide St f/s George St (Stop 17),GEORGE ST, ,502271.7,6961511.4,-27.469951,153.022993,BRISBANE CITY, ,Y,, , ,
18,306582,Adelaide St at City Hall (Stop 18),Adelaide St,George St,502293.9,6961530.7,-27.469777,153.023218,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,13/06/2007
19,307257,Adelaide St adj City Hall (Stop 19),Adelaide St,Albert St,502346,6961572,-27.469404,153.023745,BRISBANE CITY,Premium,Y,Medium,Easy,Easy,13/05/2008
20,306580,Adelaide St Stop 20 at City Hall,Adelaide St,Albert St,502393,6961615,-27.469016,153.024221,BRISBANE CITY,Premium,Y,Medium,Easy,Easy,28/06/2011
21,307255,Adelaide St @ Res Bank (Stop 21),Adelaide St,Albert St,502452.9,6961669,-27.468528,153.024827,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,13/05/2008
22,307263,Adelaide St f/s Res Bank (Stop 22),Adelaide St,Albert St,502469.6,6961683.5,-27.468397,153.024996,BRISBANE CITY,Intermediate,Y,Medium, ,Medium,28/07/2008
23,306591,Adelaide St opp DJ's (Stop 23),Adelaide St,Edward St,502521.6,6961728.9,-27.467987,153.025522,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,13/06/2007
24,306589,Adelaide St app Edward St (Stop 24),Adelaide St,Edward St,502538.1,6961743.4,-27.467856,153.025689,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Medium,13/06/2007
25,306594,Adelaide St F/S Edward St (Stop 25),Adelaide St,Edward St,502609.5,6961807.2,-27.46728,153.026411,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012
26,306595,Adelaide St at Anzac Sq (Stop 26),Adelaide St,Edward St,502620.8,6961817,-27.467191,153.026526,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012
27,306598,Adelaide St F/S Creek St (Stop 27),Adelaide St,Creek St,502785.3,6961960.1,-27.465899,153.02819,BRISBANE CITY,Regular with seat,Y,Easy,Medium,Easy,20/02/2012
28,306600,Adelaide St app Hutton L (Stop 28),Adelaide St,Hutton La,502808.6,6961980.2,-27.465718,153.028426,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Easy,20/02/2012
29,306521,Adelaide St F/S Wharf St (Stop 29),Adelaide St,Wharf St,502941,6962095,-27.464681,153.029766,BRISBANE CITY,Intermediate,Y,Medium,Easy,Hard,29/05/2012
30,306546,Adelaide St @ Macrossan St (St 30),Adelaide St,Macrossan,503110,6962257.3,-27.463215,153.031476,BRISBANE CITY,Regular with seat,Y,, , ,29/05/2012
31,307520,Creek St app Adelaide St (Stop 149A),CREEK ST, ,502757.9,6961907.3,-27.466376,153.027913,BRISBANE CITY,Regular, ,, , ,
32,,Adelaide St - City Glider - (Stop 32),ADELAIDE ST, ,502969,6962100.7,-27.46463,153.030049,BRISBANE CITY, , ,, , ,
33,307137,Adelaide St app Wharf St (Stop 33),Adelaide St,Wharf St,502937.5,6962073.5,-27.464875,153.029731,BRISBANE CITY,Intermediate,Y,Easy,Medium,Hard,29/05/2012
34,307138,Adelaide St Creek St (rear) (Stop 34),Adelaide St,Creek St,502798.2,6961952.8,-27.465965,153.028321,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012
35,306599,Adelaide St app Creek St (Stop 35),Adelaide St,Creek St,502781.8,6961938.6,-27.466093,153.028155,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012
36,306597,Adelaide St op Anzac Sq (r) (Stop 36),Adelaide St,Edward St,502676.9,6961847.4,-27.466917,153.027094,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Medium,20/02/2012
37,306596,Adelaide St op Anzac Sq (r) (Stop 37),Adelaide St,Edward St,502637.9,6961813.4,-27.467224,153.026699,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012
38,,Adelaide St f/s Edward St (Stop 38),QUEEN ST, ,502669.3,6961840.8,-27.466977,153.027017,BRISBANE CITY, , ,, , ,
39,306590,Adelaide St Stop 39 at David Jones,Adelaide St,Edward St,502537.3,6961726.7,-27.468007,153.025681,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,13/05/2008
40,306593,Adelaide St at Broadway (Stop 40),Adelaide St,Edward St,502460.9,6961660,-27.468609,153.024908,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,7/08/2008
41,307139,Adelaide St app Albert St (Stop 41),Adelaide St,Albert St,502493.1,6961688.1,-27.468355,153.025234,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,28/08/2007
42,307178,Adelaide St f\s Albert St (Stop 42),Adelaide St,Albert St,502441.6,6961643.3,-27.46876,153.024712,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,13/05/2008
43,307258,Adelaide St opp City Hall (Stop 43),Adelaide St,Albert St,502392.9,6961601,-27.469142,153.02422,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,28/06/2011
44,306588,Adelaide St opp City Hall (Stop 44),Adelaide St,Albert St,502371.5,6961582.3,-27.469311,153.024003,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,13/06/2007
45,306586,Adelaide St opp City Hall (Stop 45),Adelaide St,George St,502323.5,6961540.5,-27.469688,153.023517,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,13/05/2008
46,306584,Adelaide St opp City Plaza (Stop 46),Adelaide St,George St,502307,6961523,-27.469846,153.02335,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,13/06/2007
47,306585,Adelaide St app George St (Stop 47),Adelaide St,George St,502281.9,6961504.2,-27.470016,153.023096,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Medium,13/06/2007
49,701642,Adelaide St  Stop 31  near Macrossan,Adelaide St, ,503155,6962285.9,-27.462957,153.031931,BRISBANE CITY,Regular, ,, , ,
50,,Mary Street Stop 50,MARY ST,ALBERT ST,502667.5,6961240,-27.4724014,153.0269999,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,24/01/2017
51,,Charlotte Street Stop 51,CHARLOTTE ST,ALBERT ST,502687.3,6961405,-27.470912,153.0272,BRISBANE CITY,4 - Regular,Y,Easy,Easy,Medium,24/01/2017
52,,Charlotte Street Stop 52,CHARLOTTE ST,ALBERT ST,502723.5,6961437.3,-27.470568,153.027645,BRISBANE CITY,4 - Regular,Y,Easy,Easy,Medium,24/01/2017
53,,Charlotte Street Stop 53,CHARLOTTE ST,EDWARD ST,502762,6961470,-27.470619,153.027566,BRISBANE CITY,3 - Regular with seat,Y,Easy,,Medium,24/01/2017
55,,Post Office Square (Queen St Opposite the G.P.O.),QUEEN ST, ,502752.5,6961779.6,-27.467529,153.027859,BRISBANE CITY, , ,, , ,
56,306619,Queen St F/S Edward St (Stop 56),Queen St,Edward St,502712.5,6961745,-27.467841,153.027454,BRISBANE CITY,Regular with seat,N,Medium,Medium,Easy,20/02/2012
57,306620,Queen St F/S Edward St (Stop 57),Queen St,Edward St,502720.6,6961752,-27.467778,153.027536,BRISBANE CITY,Intermediate,Y,Medium,Hard,Easy,28/06/2011
58,306621,Queen St F/S Ped Crossing (Stop 58),Queen St,Creek St,502763,6961788.7,-27.467447,153.027965,BRISBANE CITY,Intermediate,Y,Easy,Easy,Medium,20/02/2012
59,300074,Queen St app Creek St (Stop 59),Queen St,Creek St,502793.1,6961815,-27.467209,153.02827,BRISBANE CITY,Regular with seat,Y,Easy,Easy,Medium,20/02/2012
60,306603,Queen St F/S Creek St (Stop 60),Queen St,Creek St,502853.8,6961867.9,-27.466731,153.028884,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Medium,20/02/2012
61,307522,Queen St app Wharf St,Queen St,Wharf St,502940.8,6961943.7,-27.466047,153.029764,BRISBANE CITY,Regular,N,Easy,Medium,Medium,20/02/2012
62,,Eagle St f/s Creek St (Stop 62),EAGLE ST, ,502958.4,6961822.5,-27.467141,153.029943,BRISBANE CITY, , ,, , ,
63,,Eagle St app Eagle Lane (Stop 63),EAGLE ST, ,502963.1,6961844.3,-27.466944,153.02999,BRISBANE CITY,Premium, ,Easy,Easy,Medium,
64,,Eagle St spp Eagle Lane (Stop 64),EAGLE ST, ,502975.1,6961890.9,-27.466524,153.030112,BRISBANE CITY,Regular with seat, ,, , ,
65,,Eagle St app Queen St (Stop 65),QUEEN ST, ,502981,6961916.1,-27.466296,153.030171,BRISBANE CITY,Regular, ,, , ,
66,,Queen St app Adelaide St (Stop 66),QUEEN ST, ,503099.2,6962180,-27.463913,153.031367,BRISBANE CITY, , ,, , ,
67,306523,Queen St app Ann St (Orient) (St 67),Queen St,Ann St,503077.2,6962284.7,-27.462968,153.031144,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Medium,6/07/2007
72,306605,Queen St f/s Eagle Lane (stop 72),Queen St,Eagle La,502925,6961911.6,-27.466337,153.029604,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Hard,20/02/2012
74,306604,Queen St app Creek St (Stop 74),Queen St,Creek St,502864.7,6961858.9,-27.466813,153.028994,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Medium,20/02/2012
76,307256,Queen St Farside Creek St.,Queen St,Creek St,502785.5,6961789.8,-27.467437,153.028193,BRISBANE CITY,Regular with seat,N,Easy,Medium,Medium,13/05/2008
81,306628,Elizabeth St F/S George St (Stop 81),Elizabeth St,George St,502442.4,6961359.4,-27.471323,153.024721,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Easy,15/06/2007
82,306627,Elizabeth app Albert St (r) (Stop 82),Elizabeth St,Albert St,502518.3,6961425.5,-27.470726,153.025489,BRISBANE CITY,Regular with seat,N,Medium,Medium,Hard,15/06/2007
83,306626,Elizabeth St app Albert St (Stop 83),Elizabeth St,Albert St,502541,6961445.3,-27.470547,153.025719,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Medium,15/06/2007
84,307140,Elizabeth St F/S Albert St (Stop 84),Elizabeth St,Albert St,502591.6,6961489.4,-27.470149,153.026231,BRISBANE CITY,Regular with seat,N,Easy,Medium,Medium,28/08/2007
85,306625,Elizabeth St at Shoe City (Stop 85),Elizabeth St,Albert St,502606.8,6961502.7,-27.470029,153.026385,BRISBANE CITY,Regular with seat,N,Easy,Easy,Easy,15/06/2007
86,,Elizabeth St,QUEEN ST, ,502617.1,6961511.7,-27.469948,153.026489,BRISBANE CITY, , ,, , ,
87,306623,Elizabeth St app Edward St (Stop 87),Elizabeth St,Edward St,502704.8,6961588.4,-27.469255,153.027377,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012
88,,Elizabeth St far-side Edward St (Stop 88),QUEEN ST, ,502775.5,6961650.2,-27.468697,153.028092,BRISBANE CITY, , ,, , ,
89,307141,Elizabeth St rear of GPO (Stop 89),Albert St,Creek St,502840.8,6961707.2,-27.468182,153.028753,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Hard,20/02/2012
90,307253,Charlotte St app Market St (Stop 90),Charlotte St,Market St,502916.4,6961607.7,-27.46908,153.029518,BRISBANE CITY,Regular,Y,Medium,Easy,Medium,20/02/2012
91,307260,Charlotte St app George St (Stop 91),Charlotte St,George St,502535.3,6961273.7,-27.472097,153.025662,BRISBANE CITY,Regular,Y,Medium,Hard,Medium,13/05/2008
92,,Mary St F/S Edward St (stop 92),EDWARD ST, ,502865.6,6961416.4,-27.470808,153.029004,BRISBANE CITY, , ,, , ,
93,,Alice St app George St (Stop 95A),ALICE ST, ,502800.7,6961064.4,-27.473986,153.028348,BRISBANE CITY,Intermediate,Y,Easy,Easy,Hard,
94,306638,Margaret St F/S George St (Stop 94),Margaret St,George St,502682.6,6961125.9,-27.473431,153.027153,BRISBANE CITY,Regular,Y,Easy,Hard,Easy,20/02/2012
95,306642,Alice St app George St (Stop 95),Alice St,George St,502719.7,6960993.6,-27.474625,153.027529,BRISBANE CITY,Intermediate,Y,Easy,Hard,Hard,20/02/2012
96,306643,Alice St F/S Edward St (Stop 96),Alice St,Edward St,502933.4,6961180.5,-27.472937,153.029691,BRISBANE CITY,Intermediate,Y,Easy,Easy,Medium,20/02/2012
97,306637,Margaret St near Albert St (Stop 97),Margaret St,Albert St,502750.2,6961185.4,-27.472893,153.027837,BRISBANE CITY,Regular,Y,Medium,Easy,Hard,20/02/2012
98,306612,Margaret St F/S Edward St (Stop 98),Margaret St,Felix St,502973.3,6961380.2,-27.471134,153.030095,BRISBANE CITY,Regular,Y,Medium,Easy,Hard,20/02/2012
99,,City loop Stop Alice St (Stop 96A),ALICE ST, ,502833.8,6961093.3,-27.473725,153.028683,BRISBANE CITY,Intermediate, ,Easy,Easy,Medium,
100,,Parliament - Margaret St (Stop 94A),Margaret St, ,502642.3,6961090.4,-27.473751,153.026745,BRISBANE CITY,Regular,N,Medium,Hard,Easy,
106,,North Quay @ Herschel St (St 106),NORTH QUAY, ,501814.9,6961723.9,-27.468033,153.018369,BRISBANE CITY, , ,, , ,
108,,George St City Precincts (Stop 108),GEORGE ST, ,502575.4,6961103.3,-27.473635,153.026068,BRISBANE CITY, , ,, , ,
109,306564,North Quay Island (Stop 109),North Quay,Adelaide St,502140.6,6961434.5,-27.4706459,153.0216664,BRISBANE CITY,Intermediate,Y,Medium,Easy,Medium,20/02/2012
114,306635,George St F/S Alice St (Stop 114),George St,Alice St,502661.1,6961004.7,-27.474525,153.026935,BRISBANE CITY,Intermediate,N,Hard,Easy,Easy,20/02/2012
115,306633,George St app Charlotte St (St 115),George St,Mary St,502514.6,6961173.1,-27.473005,153.025452,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Easy,20/02/2012
116,,George St app Queen St (Stop 116),QUEEN ST, ,502351.8,6961360.5,-27.471313,153.023804,BRISBANE CITY, , ,, , ,
116,,Casino Elizabeth St app George St (Stop 116b),QUEEN ST, ,502370.6,6961296.2,-27.471894,153.023994,BRISBANE CITY, , ,, , ,
117,306575,George St app Turbot (r) (Stop 117),George St,Turbot St,502133.8,6961611.5,-27.469048,153.021597,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Medium,20/02/2012
118,,George St app Turbot St (Stop 118),GEORGE ST, ,502120.4,6961626.9,-27.468909,153.021461,BRISBANE CITY, , ,, , ,
119,,George St F/S Tank St (Stop 119),GEORGE ST, ,502002.8,6961762.4,-27.467685,153.020271,BRISBANE CITY, , ,, , ,
120,,George St app Herschel St (St 120),GEORGE ST, ,501983.1,6961785.6,-27.467476,153.020072,BRISBANE CITY, , ,, , ,
121,306553,Roma St at Police HQ (Stop 121),Roma St,Makerston St,501820.6,6961890.1,-27.466533,153.018427,BRISBANE CITY,Intermediate,Y,Medium,Easy,Hard,29/05/2012
122,306551,Roma St app Garrick St (Stop 122),Roma St,Garrick St,501754.8,6961909.1,-27.466361,153.017761,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,29/05/2012
123,306636,George St app Alice St (Stop 123),George St,Margaret St,502653.7,6961034.7,-27.474254,153.026861,BRISBANE CITY,Intermediate,N,Medium,Easy,Hard,15/06/2007
124,306552,Roma St app Rlwy Stn (r) (Stop 124),Roma St,Garrick St,501777.3,6961917.2,-27.466288,153.017988,BRISBANE CITY,Intermediate,Y,Medium,Easy,Medium,29/05/2012
125,306554,Roma St app Transit Cntre (Stop 125),Roma St,Markerston St,501812.6,6961907,-27.46638,153.018346,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,20/02/2012
126,,HBL and PRT stop Roma St Station,MAKERSTON ST, ,501769.1,6961905,-27.466398,153.017905,BRISBANE CITY, , ,, , ,
127,,Roma St Station, , ,501746.5,6961926.1,-27.466208,153.017677,BRISBANE CITY, , ,, , ,
128,,Roma St Station (OB), , ,501742.7,6961912.6,-27.46633,153.017638,BRISBANE CITY, , ,, , ,
129,,Albert St app Adelaide St (Stop 129),ADELAIDE ST, ,502428,6961613,-27.469034,153.024575,BRISBANE CITY, , ,, , ,
130,307254,Turbot Street off ramp - 130,Magistrates La,Roma St,502167.2,6961721.3,-27.468056,153.021935,BRISBANE CITY,Regular with seat,Y,Easy,Medium,Easy,20/02/2012
131,,Wickham Tce @ Lilley St (Stop 131),Wickhan Terrace, ,502059.6,6962238.4,-27.463388,153.020845,SPRING HILL,Intermediate, ,Medium,Medium,Hard,
132,,Wickham Tce @ Gazebo (St 132), , ,502081.6,6962105.8,-27.464585,153.021068,SPRING HILL, , ,, , ,
133,306505,Wickham Tce @ Bne Private Hosp (St 133),Wickham Tce,Brisbane Private Hospital,502218.2,6962020.8,-27.465352,153.022451,SPRING HILL,Regular with seat,N,Medium,Hard,Hard,10/05/2007
134,306506,Wickham Tce @ Watkins Place (134),Wickham Tce,Bartley St,502305.1,6961993.6,-27.465598,153.02333,SPRING HILL,Regular with seat,N,Easy,Hard,Medium,10/05/2007
135,306522,Upp Edward St f/s Wickham (St 135),Upper Edward St,Wickham Tce,502449,6962127.3,-27.46439,153.024786,SPRING HILL,Intermediate,N,Hard,Medium,Hard,6/07/2007
136,,Herschell St @ Fitness First,NORTH QUAY, ,501849.8,6961731.2,-27.467967,153.018722,BRISBANE CITY, , ,, , ,
137,,Turbot St & Up Edward St @ Jacobs Ladder,EDWARD ST, ,502424.3,6961972,-27.465793,153.024537,BRISBANE CITY, , ,, , ,
138,,Roma Street app Ann St (Stop 138),ROMA ST, ,502262.6,6961744.2,-27.467849,153.022901,BRISBANE CITY,Regular, ,, , ,
139,,Casino George St f/s Elizabeth St,QUEEN ST, ,502356.9,6961354.6,-27.471367,153.023856,BRISBANE CITY, , ,, , ,
140,306501,Upp Edward St @ Wickham (St 140),Upper Edward St,Wickham Tce,502470.1,6962107.3,-27.464571,153.025,SPRING HILL,Intermediate,N,Easy,Hard, ,10/05/2007
141,306618,Edward St app Ann St (Stop 141),Edward St,Ann St,502489.8,6961901.1,-27.466432,153.0252,BRISBANE CITY,Regular,Y,Medium,Hard,Easy,29/05/2012
142,306617,Edward St F/S Queen St (Stop 142),Edward St,Elizabeth St,502710.4,6961644.3,-27.46875,153.027433,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012
143,306616,Edward Street Stop 143 at Elizabeth,Edward St,Elizabeth St,502722.3,6961630.6,-27.468874,153.027554,BRISBANE CITY,Regular with seat,Y,Hard,Easy,Easy,20/02/2012
144,306615,Edward St f/s Elizabeth St (St 144),Edward St,Elizabeth St,502766.6,6961579.8,-27.469333,153.028002,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Hard,20/02/2012
145,306614,Edward St app Mary St (Stop 145),Edward St,Mary St,502864.3,6961467.5,-27.470346,153.028991,BRISBANE CITY,Regular,Y,Medium,Medium,Hard,13/06/2007
146,306613,Edward St app Margaret St (St 146),Edward St,Margaret St,502942.4,6961377.6,-27.471158,153.029782,BRISBANE CITY,Regular with seat,N,Easy,Hard,Hard,13/06/2007
147,,Edward St at Alice St (Stop 147), , ,503028.6,6961266,-27.472165,153.030655,BRISBANE CITY, , ,, , ,
148,306602,Riverside Creek St (Stop 148),Creek St,Queen St,502848.2,6961803.4,-27.467314,153.028827,BRISBANE CITY,Regular,Y,Easy,Medium,Hard,20/02/2012
149,307520,Creek St app Adelaide St (Stop 149),Creek St,Adelaide St,502781.6,6961880,-27.466622,153.028153,BRISBANE CITY,Regular,Y,Easy,Easy,Medium,20/02/2012
150,,Riverside Eagle St (Stop 150),EAGLE ST, ,502972.9,6961881.3,-27.46661,153.030089,BRISBANE CITY, , ,, , ,
151,,Eagle St app Eagle Lne (r) (St 151),QUEEN ST, ,502982.5,6961920.6,-27.466255,153.030186,BRISBANE CITY, , ,, , ,
152,306609,Eagle St at Riverside Centre (St 152),Eagle St,Eagle La,502977.6,6961842,-27.466965,153.030137,BRISBANE CITY,Regular,N,Medium,Easy,Medium,13/06/2007
153,306610,Eagle St at Waterfront Pl (Stop 153),Eagle St,Charlotte St,502994.1,6961595.5,-27.46919,153.030305,BRISBANE CITY,Regular,Y,Medium,Easy,Medium,20/02/2012
155,306611,Eagle St app Charlotte St (Stop 155),Eagle St,Charlotte St,502976.2,6961619.7,-27.468972,153.030123,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,20/02/2012
156,306518,Wharf St app Ann St (Stop 156),Wharf St,Ann St,502863.4,6962118.2,-27.464472,153.028981,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Easy,29/05/2012
157,306516,Wickham Tce stand B (Stop 157),Wickham Tce,Turbot St,502754.8,6962139.7,-27.464278,153.027881,SPRING HILL,Regular with seat,N,Medium,Easy,Hard,6/05/2007
158,306517,Wickham Tce stand A (Stop 158),Wickham Tce,Turbot St,502751.8,6962124.2,-27.464418,153.027851,SPRING HILL,Intermediate,Y,Medium,Easy,Hard,29/05/2012
159,306515,Wickham Tce stand C (Stop 159),Wickham Tce,Turbot St,502771.7,6962144.5,-27.464235,153.028052,SPRING HILL,Regular,N,Medium,Easy,Hard,6/05/2007
160,,Wickham Tce 'D' (Stop 160),WICKHAM TCE, ,502795.8,6962135.8,-27.464313,153.028296,SPRING HILL, , ,Medium,Medium,Hard,
161,,Wharf St f/s Ann St,ANN ST, ,502870.2,6962131.5,-27.464352,153.029049,BRISBANE CITY, , ,, , ,
162,306513,Wharf St F/S Ann St (Stop 162),Wharf St,Turbot St,502807.5,6962183.7,-27.463881,153.028415,SPRING HILL,Regular with seat,Y,Medium,Easy,Hard,29/05/2012
163,306510,Wharf St app Leichhardt (St 163),Wharf St,St Pauls Tce,502630,6962388.4,-27.462033,153.026618,SPRING HILL,Intermediate,N,Easy,Hard,Hard,6/05/2007
164,,Leichhardt St - The Ridge (Stop 164),LEICHHARDT ST, ,502544.4,6962330,-27.46256,153.025751,SPRING HILL, , ,, , ,
165,306471,Leichhardt St - The Ridge (Stop 165),Leichardt St,Henry St,502529.1,6962339.7,-27.462473,153.025597,SPRING HILL,Regular with seat,N,Easy,Easy,Medium,9/05/2007
166,306511,Wharf St app Turbot St (Stop 166),Wharf St,Turbot St,502765.1,6962255.4,-27.463233,153.027985,SPRING HILL,Intermediate,N,Easy,Medium,Hard,6/05/2007
167,,Wharf St fs Astor Terrace,WHARF ST, ,502699.7,6962308.4,-27.462755,153.027323,SPRING HILL, , ,, , ,
168,306519,Wharf St F/S Adelaide St (Stop 168),Wharf St,Rich La,502950.6,6962041.1,-27.465168,153.029863,BRISBANE CITY,Intermediate,Y,Medium,Hard,Hard,29/05/2012
172,306473,St Andrews,Boundary St,Bradley St,502026.7,6962577,-27.460331,153.020511,SPRING HILL,Regular with seat,N,Easy,Medium,Hard,9/05/2007
173,,Gregory Terrace Zone A turn around, , ,501878.8,6962666.6,-27.459523,153.019015,SPRING HILL, , ,, , ,
174,,Albert Park Stop 174, , ,501934.1,6962455.8,-27.461426,153.019575,SPRING HILL, , ,, , ,
178,306509,Leichhardt Street,Little Edward St,Leichardt St,502382.7,6962353.2,-27.462351,153.024115,SPRING HILL,Regular with seat,N,Medium,Hard,Medium,6/05/2007
180,306472,Queensland Transport,Boundary St,Fortescue St,502288.2,6962533.9,-27.46072,153.023158,SPRING HILL,Intermediate,Y,Easy,Hard,Hard,9/05/2007
181,,Windmill/City Sights stop,WICKHAM TCE, ,502325.6,6961983.7,-27.465687,153.023538,SPRING HILL, , ,Medium,Hard,Hard,
184,,Gregory Tce - Zone A turn around,GREGORY TCE, ,501879.2,6962669.2,-27.459499,153.019019,SPRING HILL, , ,, , ,
185,307429,"Fortescue Street"""""""" Spring Hill",Fortescue St,Boundary St,502324.3,6962560.5,-27.46048,153.023523,SPRING HILL,Regular,N,Easy,Hard,Hard,12/11/2008
186,307430,"Water St"""""""" Spring Hill",Water St,Laisby Dr,502454,6962619.9,-27.459943,153.024836,SPRING HILL,Regular,N,Medium,Hard,Hard,12/11/2008
201,306538,Brunswick St @ Alfred St (Stop 201),Brunswick St,Alfred St,503184.3,6963034.9,-27.456195,153.032226,FORTITUDE VALLEY,Regular with seat,N,Easy,Hard,Medium,6/08/2007
202,307132,Brunswick St @ Wickham St (St 202),Brunswick St,Wickham St,503318.7,6962916.6,-27.457263,153.033586,FORTITUDE VALLEY,Regular with seat,N,Medium, ,Easy,28/08/2007
203,,Warner St fs Wickham (St 203),WARNER ST, ,503468.6,6962912.1,-27.457303,153.035103,FORTITUDE VALLEY, , ,, , ,
204,300065,Warner St mid-block (Stop 204),Warner St,Ann St,503459.5,6962920.2,-27.45723,153.035011,FORTITUDE VALLEY,Intermediate,N,Medium,Easy,Medium,6/07/2007
205,306533,Warner St app Ann St (Stop 205),Warner St,Ann St,503494.1,6962889.6,-27.457506,153.035362,FORTITUDE VALLEY,Premium,N,Easy,Easy,Easy,6/07/2007
206,306534,Ballow St app Ann St (Stop 206),Ballow St,Ann St,503565.5,6962940.7,-27.457044,153.036084,FORTITUDE VALLEY,Intermediate,N,Easy,Medium,Hard,6/07/2007
207,307133,Brunswick St @ McLachlan (207),Brunswick St,McLachlan St,503500.4,6962755.4,-27.458718,153.035426,FORTITUDE VALLEY,Regular with seat,Y,Easy,Medium, ,28/08/2007
210,,Brunswick St @ Ann St (Stop 210),BRUNSWICK ST, ,503491.5,6962744.6,-27.458815,153.035336,FORTITUDE VALLEY, , ,, , ,
