distance,street_name,street_type,suburb,postcode,ward_name,long,lat
45.18713132606753,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03830281564632,-27.447290209496604
45.18713132606753,CINTRA,Road,BOWEN HILLS,4006,CENTRAL,153.03830281564632,-27.447290209496604
55.2911921738526,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.0383777610889,-27.44659078830891
73.35894711661496,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03841008101094,-27.446411482951667
36.79056876519803,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.0379491127319,-27.445433242792433
61.39317380384158,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03795854522443,-27.445200588140985
54.63137160574073,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.0385734475377,-27.445508067116563
86.99365328874151,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03795795929702,-27.44496694312837
66.07148956469722,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03860016164413,-27.445360388394317
90.66003676435689,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.0379497007502,-27.444785843279938
84.50890436256891,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03794369875396,-27.444693307699097
92.13778246246623,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03865404403797,-27.445062241140878
83.23009550958449,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03866853701953,-27.444981553699513
74.37353390143183,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03868318179056,-27.44490092940972
73.20060192130532,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03795112329965,-27.44450723816036
65.44974102064931,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03796409633966,-27.444271422705743
63.383159812553714,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03870136121063,-27.444800081369028
50.405325149000994,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03872327764438,-27.44467900951895
66.02541994204046,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03797425790978,-27.44409970696356
32.53951996308023,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03859648112987,-27.444525460002705
16.475033537707972,FOLKESTONE,Street,BOWEN HILLS,4006,CENTRAL,153.03863989296613,-27.444381649647262
16.475033537707972,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03863989296613,-27.444381649647262
70.08188119076145,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03798240916257,-27.443967534500942
77.07751388827373,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.0379907611707,-27.443830667409067
62.00990686779593,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.0381581776046,-27.443670283988155
52.478344071741716,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03818261921307,-27.44353476667558
43.18872187752271,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.0382492248582,-27.443451681572622
40.03967739710301,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03826553605344,-27.44336140589517
39.339599875214965,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03828189778335,-27.443271030892518
42.046883638817,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.03830219831715,-27.443158626428005
55.10125008922327,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.0383760886488,-27.442927217863833
55.10125008922327,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.0383760886488,-27.442927217863833
55.10125008922327,MAYNE,Road,BOWEN HILLS,4006,CENTRAL,153.0383760886488,-27.442927217863833
43.282003261225505,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.04024943981577,-27.439055471917968
43.67906232991971,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.04034178396228,-27.438946747756088
77.83775444938327,ALLISON,Street,BOWEN HILLS,4006,CENTRAL,153.04110908675167,-27.438681550889573
77.83775444938327,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.04110908675167,-27.438681550889573
93.11259731541351,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.04112258739246,-27.43852409808479
73.67332253240717,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.0404628375115,-27.4385962987594
82.23738183509562,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.0404853111617,-27.438513451039583
96.36137590474968,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.0413687987609,-27.43723355865214
67.14735665250366,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.04147328894692,-27.436979623261657
91.28217583506148,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.0416011561294,-27.437194515478605
33.280888430490144,BURROWS,Street,BOWEN HILLS,4006,CENTRAL,153.04137543850408,-27.43577372399258
33.280888430490144,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.04137543850408,-27.43577372399258
41.89765224365172,ABBOTSFORD,Road,BOWEN HILLS,4006,CENTRAL,153.04146887641136,-27.43535298989913
76.02244757004416,HADWEN,Lane,BOWEN HILLS,4006,CENTRAL,153.04131209154215,-27.435078746757867
76.02244757004416,BURROWS,Street,BOWEN HILLS,4006,CENTRAL,153.04131209154215,-27.435078746757867
