wifi_hotspot_name,address,suburb,lat,long,site,btn_both
QLD_SOU179A,SB01 - Southbank Overview (FDB 33) and SB08 FDBs,South Brisbane,-27.474908,153.020361,Southbank Existing BCC Wifi,TRUE
QLD_SOU180A,SB01 - Southbank Overview (FDB 34) and SB08 FDBs,South Brisbane,-27.47423,153.019912,Southbank Existing BCC Wifi,TRUE
QLD_SOU181A,SB01 - Southbank Overview (Rain Bank) and SB07 Rain Bank,South Brisbane,-27.47594,153.02145,Southbank Existing BCC Wifi,TRUE
QLD_SOU182A,SB01 - Southbank Overview (Piazza) and SB6 Piazza,South Brisbane,-27.476764,153.021349,Southbank Existing BCC Wifi,TRUE
QLD_SOU206A,SB01 - Southbank Overview (Piazza) and SB6 Piazza,South Brisbane,-27.476916,153.02173,Southbank Existing BCC Wifi,TRUE
QLD_SOU207A,SB01 - Southbank Overview (Riverside Restaurant),South Brisbane,-27.480689,153.024839,Southbank Existing BCC Wifi,TRUE
QLD_SOU208A,SB01 - Southbank Overview (Gazebo on small island),South Brisbane,-27.47787,153.02301,Southbank Area,TRUE
QLD_SOU209A,SB01 - Southbank Overview (Southbank House),South Brisbane,-27.478652,153.022463,Southbank Existing BCC Wifi,TRUE
QLD_SOU210A,SB01 - Southbank Overview (Southbank House),South Brisbane,-27.478455,153.022653,Southbank Existing BCC Wifi,TRUE
QLD_SOU211A,SB01 - Southbank Overview (Allgas Building),South Brisbane,-27.478869,153.022931,Southbank Existing BCC Wifi,TRUE
QLD_SOU215A,SB01 - Southbank Overview (River Quay Restaurants),South Brisbane,-27.480821,153.025031,Southbank Existing BCC Wifi,TRUE
QLD_SOU216A,SB01 - Southbank Overview (River Quay Restaurants),South Brisbane,-27.480888,153.025569,Southbank Existing BCC Wifi,TRUE
QLD_SOU217A,SB01 - Southbank Overview (Piazza) and SB6 Piazza,South Brisbane,-27.477252,153.02146,Southbank New BCC Wifi,TRUE
QLD_SOU218A,SB01 - Southbank Overview (Piazza) and SB6 Piazza,South Brisbane,-27.477116,153.021364,Southbank New BCC Wifi,TRUE
QLD_SOU219A,SB01 - Southbank Overview (Piazza) and SB6 Piazza,South Brisbane,-27.476976,153.021271,Southbank New BCC Wifi,TRUE
QLD_SOU239A,Victoria Bridge,South Brisbane,-27.473077,153.01988,Victoria Bridge,TRUE
QLD_STO262A,286 Logan Rd,Greenslopes,-27.49824,153.043585,Stones Corner,TRUE
QLD_STO263A,2 Old Cleveland Rd,Greenslopes,-27.498527,153.04471,Stones Corner,TRUE
QLD_STO264A,346-356 Logan Rd,Greenslopes,-27.499088,153.044929,Stones Corner,TRUE
QLD_STO265A,405-407 Logan Rd,Greenslopes,-27.50021,153.045418,Stones Corner,TRUE
QLD_STO266A,6 Jeavons Lane,Greenslopes,-27.500852,153.045479,Stones Corner,TRUE
QLD_STO267A,433 Logan Rd,Greenslopes,-27.5013,153.04635,Stones Corner,TRUE
QLD_STO268A,11 Cleveland St,Greenslopes,-27.49869,153.043251,Stones Corner,TRUE
QLD_SLU287A,228-234 Hawken Drive,St Lucia,-27.502172,153.006037,St Lucia,TRUE
QLD_07387012X2,225 Hawken Drive,St Lucia,-27.502179,153.006513,St Lucia,TRUE
Stones Corner Library Wifi,280 Logan Road,Greenslopes,-27.49803575,153.043655,Library,TRUE
Toowong Library Wifi,"Toowon Village Shopping Centre, Sherwood Road",Toowong,-27.48505116,152.9925091,Library,TRUE
West End Library Wifi,178 - 180 Boundary Street,West End,-27.48245078,153.0120763,Library,TRUE
